at,content,score,userName,contentp,contentp_clean,text_length
2023-11-09 05:20:54,"Mahalnya ga karuan, bener bener ga masuk akal, padahal yang pake saya sendiri..",2,Aljarallah Tagoy,mahalnya ga karuan bener bener ga masuk akal padahal yang pake saya sendiri,mahal karuan bener bener masuk akal padahal pakai sendiri,57
2023-11-09 02:58:30,"Aktivasi akun aja ribet, padahal kartu sudah aktif dan email sudah terdaftar",1,Annansyah Firdaus,aktivasi akun aja ribet padahal kartu sudah aktif dan email sudah terdaftar,aktivasi akun ribet padahal kartu aktif email daftar,52
2023-11-08 22:31:42,Bagus,5,fahrul Irham,bagus,bagus,5
2023-11-08 20:50:06,"Pelayanan buruk,percuma paketan mahal sinyal tidak stabil",1,Titania Erza Scarlet,pelayanan buruk percuma paketan mahal sinyal tidak stabil,layan buruk percuma paket mahal sinyal stabil,45
2023-11-08 15:15:54,👍👍👍,5,fian gustawan,,,0
2023-11-08 11:43:38,Payah. Kuita ratusan gb tapi internet ga bisa dipakai. Bahkan buat WA dan youtube semua ga bisa jln. Chat cs sampaikan keluhan hnya MENTOK di akan dicek. Hbs itu chat kita ga dibalas2 sebelum end chat. Buang wkt aja!!,1,mahal shop88,payah kuita ratusan gb tapi internet ga bisa dipakai bahkan buat wa dan youtube semua ga bisa jln chat cs sampaikan keluhan hnya mentok di akan dicek hbs itu chat kita ga dibalas sebelum end chat buang wkt aja,payah kuita ratus gb internet bisa pakai bahkan buat wa youtube semua bisa jln chat customer service keluh hnya mentok akan cek hbs chat tidak balas end chat buang wkt,167
2023-11-08 09:22:42,jgn beli nnti nyesal. Mahal kali paketmu orbit sumpah. mending beli hp seken yg udah 4g pake buat hotspot Mending beli paket Kompetitor lain. udah mahal jaringannya lemot macam t41.,1,Reski Akbar,jgn beli nnti nyesal mahal kali paketmu orbit sumpah mending beli hp seken yg udah pake buat hotspot mending beli paket kompetitor lain udah mahal jaringannya lemot macam,jangan beli nnti sesal mahal kali paket orbit sumpah lebih baik beli hp ken sudah pakai buat hotspot lebih baik beli paket kompetitor sudah mahal jaring lambat macam,165
2023-11-08 08:15:38,Mantaap,5,Al Munip,mantaap,mantaap,7
2023-11-07 22:59:20,"Kenapa sya isi paket yg 100 GB lewat briva kuota nya msh blm masuk2 juga, pdhal pembayran udh berhasil dr kmren 🤦",2,Rhinie 17,kenapa sya isi paket yg gb lewat briva kuota nya msh blm masuk juga pdhal pembayran udh berhasil dr kmren,saya isi paket gb lewat briva kuota nya belum masuk padahal pembayran hasil kmren,81
2023-11-07 20:11:12,"Sinyal sering putus putus ,indikator merah terus, dah 3 bulan kuota ku seolah olah hilang begitu saja ,modem nggak awet",1,Wahyu Jatmiko,sinyal sering putus putus indikator merah terus dah bulan kuota ku seolah olah hilang begitu saja modem nggak awet,sinyal sering putus putus indikator merah terus bulan kuota ku olah olah hilang saja modem awet,95
2023-11-07 17:55:12,"Saya sangat kecewa dengan modem orbit ini, sudah diganti unit modemnya 2 kali tapi alat ini hanya bertahan 2-3 bulan saja, setelah itu sinyal sering hilang dan lampu indikatornya merah tdk ada perubahan ke warna biru. Tolong ya kalian penyedia jasa, saya membeli alat ini untuk pekerjaan dan dipakai untuk seterusnya, bukan untuk barang tidak berguna seperti ini.",1,Inne Hermione,saya sangat kecewa dengan modem orbit ini sudah diganti unit modemnya kali tapi alat ini hanya bertahan bulan saja setelah itu sinyal sering hilang dan lampu indikatornya merah tdk ada perubahan ke warna biru tolong ya kalian penyedia jasa saya membeli alat ini untuk pekerjaan dan dipakai untuk seterusnya bukan untuk barang tidak berguna seperti ini,sangat kecewa modem orbit sudah ganti unit modem kali alat hanya tahan bulan telah sinyal sering hilang lampu indikator merah ada ubah warna biru ya kalian sedia jasa beli alat kerja pakai terus bukan untuk barang guna,218
2023-11-07 17:18:51,"Sinyal sering merah, saran aja untuk diperbaiki sebelum banyak kehilangan customer",1,Lorong Islami,sinyal sering merah saran aja untuk diperbaiki sebelum banyak kehilangan customer,sinyal sering merah saran untuk baik banyak hilang customer,59
2023-11-07 13:09:34,alhmdullah. .....,3,sugianto sugianto,alhmdullah,alhmdullah,10
2023-11-07 12:41:56,"Lemot kali,nonton Yutub,tiktok tolong perbaiki la",1,Juan Toro,lemot kali nonton yutub tiktok tolong perbaiki la,lambat kali nonton yutub tiktok baik la,39
2023-11-07 10:03:11,"Masih banyak bug, kemaren2 beli paket ada dikirim data transaksi jadi bisa download invoice, sekarang setiap beli paket ga ada invoice nya. Chat sm CS cuma mau minta invoice aja banyak kali data yang diminta, pelayanan juga sangat lama, sudah menunggu lama solusi nya ribet lagi....",1,Andi Arianto,masih banyak bug kemaren beli paket ada dikirim data transaksi jadi bisa download invoice sekarang setiap beli paket ga ada invoice nya chat sm cs cuma mau minta invoice aja banyak kali data yang diminta pelayanan juga sangat lama sudah menunggu lama solusi nya ribet lagi,banyak bug kemarin beli paket kirim data transaksi jadi download invoice sekarang tiap beli paket ada invoice nya chat sama customer service cuma mau minta invoice banyak kali data minta layan sangat lama tunggu lama solusi nya ribet,233
2023-11-07 08:42:03,"Mungkin bisa tambahkan fitur batas pemakaian data harian pada fitur waktu penggunaan, Tambahkan fitur ussd, fitur pesannya...",3,Antharis,mungkin bisa tambahkan fitur batas pemakaian data harian pada fitur waktu penggunaan tambahkan fitur ussd fitur pesannya,mungkin tambah fitur batas pakai data hari fitur waktu tambah fitur ussd fitur pesan,84
2023-11-07 00:19:46,jaringan tiba tiba putus malam ini. ngeselin,3,yogi mulyana,jaringan tiba tiba putus malam ini ngeselin,jaring tiba tiba putus malam ngeselin,37
2023-11-06 23:45:45,Beli mahal² malah kek gini jadinya,1,ucup uciha,beli mahal² malah kek gini jadinya,beli mahal malah kek gin jadi,29
2023-11-06 19:13:26,Mantap,5,Cristian Ku,mantap,mantap,6
2023-11-06 13:24:15,Mau menghubungkan fitur lanjutan ngga bisa terus notif gagal padahal udah kesambung wifinya,2,Hakim Nanuro,mau menghubungkan fitur lanjutan ngga bisa terus notif gagal padahal udah kesambung wifinya,mau hubung fitur lanjut bisa terus notif gagal padahal sambung wifinya,70
2023-11-06 12:47:51,Kenapa saya tidak bisa log in seperti biasa? langsung di alihkan ke pembelian paket data,1,Bintang Jaya Sumberrejo,kenapa saya tidak bisa log in seperti biasa langsung di alihkan ke pembelian paket data,saya bisa log in biasa langsung alih beli paket data,52
2023-11-06 11:05:08,Kenapa modem harus sering di reset yah?,4,Dedi Kurniawan,kenapa modem harus sering di reset yah,modem sering reset yah,22
2023-11-06 09:51:04,Alhmdulillah,5,Aab,alhmdulillah,alhmdulillah,12
2023-11-06 04:34:51,Kadang jaringan ya hilang timbul...padahal uda pake orbit....masi mutar2 kalau mau masuk sosial media ....hujan sedikit...mutar2....,1,Jackson Panjaitan,kadang jaringan ya hilang timbul padahal uda pake orbit masi mutar kalau mau masuk sosial media hujan sedikit mutar,kadang jaring hilang timbul padahal pakai orbit mutar kalau mau masuk sosial media hujan sedikit mutar,102
2023-11-05 23:38:03,Selalu jawaban terhubung tanpa internet padahal baru beli paket 100 GB...dimana masalahnya?,1,Fajar Krisman Y. Lase,selalu jawaban terhubung tanpa internet padahal baru beli paket gb dimana masalahnya,selalu jawab hubung internet padahal baru beli paket gb mana masalah,68
2023-11-05 23:06:17,Okkkkkkkkkkk,5,Ach Baradito,okkkkkkkkkkk,okkkkkkkkkkk,12
2023-11-05 21:41:25,"Bintang 1 dulu ya, di orbit warna merah padahal paket masih banyak mohon untuk di perbaiki.",1,Popy Nova Istitah,bintang dulu ya di orbit warna merah padahal paket masih banyak mohon untuk di perbaiki,bintang dulu orbit warna merah padahal paket banyak mohon baik,62
2023-11-05 21:10:02,"Semakin busuk, login puluhan kode otp tetp salah pdahal kode otp dr orbit sndri..aduhhh parahh",1,Dedy Miswar,semakin busuk login puluhan kode otp tetp salah pdahal kode otp dr orbit sndri aduhhh parahh,makin jelek login puluh kode otp tetp salah pdahal kode otp orbit sndri aduhhh parah,84
