at,content,score,userName,contentp,contentp_clean,text_length
2023-09-22 04:21:54,Katanya aplikasi nya canggih kok jawabannya ngawur dan jawaban nya 2021 ini aplikasi apa apa an semoga aplikasi ini di blokir,1,Raymond Wiryajaya,katanya aplikasi nya canggih kok jawabannya ngawur dan jawaban nya ini aplikasi apa apa an semoga aplikasi ini di blokir,kata aplikasi nya canggih kok jawab benar jawab nya aplikasi apa apa an moga aplikasi blokir,92
2023-09-22 02:03:03,good job sumpah membantu banget,5,Nafisatul Fitria,good job sumpah membantu banget,good job sumpah bantu banget,28
2023-09-22 00:35:31,"Aplikasi terbaik dhh, karena kita bisa nyari semua hal itu langsung di rangkum, bedanya sama google kalau apk ini lebih ke menjelaskan garis besar jawaban dari pertanyaan kalian",5,David Valencia,aplikasi terbaik dhh karena kita bisa nyari semua hal itu langsung di rangkum bedanya sama google kalau apk ini lebih ke menjelaskan garis besar jawaban dari pertanyaan kalian,aplikasi baik dhh kita nyari semua itu langsung rangkum beda sama google kalau apk lebih jelas garis besar jawab tanya kalian,125
2023-09-22 00:02:11,useful,5,Aqil_syathir_R,useful,useful,6
2023-09-21 17:25:17,Sangat membantu saya dalam kehidupan sehari-hari.,5,Rosidi Endah,sangat membantu saya dalam kehidupan sehari hari,sangat bantu dalam hidup hari hari,34
2023-09-21 13:58:17,Luar biasa!!!,5,Rifqi Saputra,luar biasa,luar biasa,10
2023-09-21 13:36:50,aplikasi nya sangat bagus,5,Gres Saduk,aplikasi nya sangat bagus,aplikasi nya sangat bagus,25
2023-09-21 10:55:47,KEREN UDAH SAYA ANGGAP SAHABAT SENDIRI,5,Andri Maulana,keren udah saya anggap sahabat sendiri,keren saya anggap sahabat sendiri,33
2023-09-21 09:29:59,masok ti gipiti,5,BHIGT,masok ti gipiti,masok ti gipiti,15
2023-09-21 08:51:03,bener bener ngebantu banget terimakasih 🦋😍😍,5,Suci Kurniawati,bener bener ngebantu banget terimakasih,bener bener bantu banget terima kasih,37
2023-09-21 06:09:52,"Bagus banget, mempermudah hidup",5,M.Rizqi Jaya,bagus banget mempermudah hidup,bagus banget mudah hidup,24
2023-09-21 05:27:32,asik...,5,hadi hadiwiska,asik,asik,4
2023-09-21 03:30:51,Great,5,Muhamad Zahran Maisaan,great,great,5
2023-09-21 03:01:59,Keren anet sumpil,5,Raditza Bintang Ramadhan,keren anet sumpil,keren anet sumpil,17
2023-09-21 02:57:41,Google versi AI,4,muhammad syahroni,google versi ai,google versi ai,15
2023-09-21 02:45:44,sangat memuaskan,5,Muhammad Zailani,sangat memuaskan,sangat muas,11
2023-09-21 02:41:27,Murahin fitur premiumnya biar cocok buat kantong pelajar:(,5,Andi Kurniawan,murahin fitur premiumnya biar cocok buat kantong pelajar,murahin fitur premium biar cocok buat kantong ajar,50
2023-09-21 02:38:44,suka dah mantap,5,Rush Yanto,suka dah mantap,suka mantap,11
2023-09-21 02:24:28,keren,5,Achay Chanjaya,keren,keren,5
2023-09-21 01:58:05,Amazing,5,Toriq Bonde,amazing,amazing,7
2023-09-21 01:40:11,Aplikasinya sudah bagus tapi tanggal update di percepat agar informasi lebih luas THANKS FOR YOU,5,Rizky,aplikasinya sudah bagus tapi tanggal update di percepat agar informasi lebih luas thanks for you,aplikasi bagus tanggal update cepat informasi lebih luas thanks for you,71
2023-09-21 01:25:07,i need a new update for this app😀,4,Haikal Faiz,need new update for this app,need new update for this aplikasi,33
2023-09-21 00:16:32,Its the prefeck,5,Irene 22,its the prefeck,it is the prefeck,17
2023-09-20 23:18:55,nice,5,FreezeClover,nice,nice,4
2023-09-20 15:56:20,very good,5,Galih Qurbany,very good,very good,9
2023-09-20 15:47:15,Aplikasi ter the best i love you,5,Natan Natan,aplikasi ter the best love you,aplikasi ter the best love you,30
2023-09-20 13:08:46,"sangat cepat, dan memuaskan",5,Eranatasia weli,sangat cepat dan memuaskan,sangat cepat muas,17
2023-09-20 12:49:34,"Biasa aja, jawaban secara umum doang... kirain lebih mendalam sampai hal yanb tidak diketahui, apa yang di input ke program yah itu yang akan muncul sebagai jawaban (tidak ada yang spesial) tapi lumayan buat cari informasi buat yang malas buka2 browser atau tiktok penuh musik berisik joget2",4,abdul hakim,biasa aja jawaban secara umum doang kirain lebih mendalam sampai hal yanb tidak diketahui apa yang di input ke program yah itu yang akan muncul sebagai jawaban tidak ada yang spesial tapi lumayan buat cari informasi buat yang malas buka browser atau tiktok penuh musik berisik joget,biasa jawab cara umum kirain lebih sampai yanb tahu apa input program yah muncul bagai jawab ada spesial lumayan buat cari informasi buat yang malas buka browser tiktok penuh musik berisik joget,194
2023-09-20 11:52:21,"Sekarang ga bisa di pake aplikasinya hadehhh, tulisannya error ga ada internet atw koneksi gtu padahal jaringan bagus, udah di update juga aplikasi nya, bukan sekali juga sih kejadian ny",1,Muzza Imutt,sekarang ga bisa di pake aplikasinya hadehhh tulisannya error ga ada internet atw koneksi gtu padahal jaringan bagus udah di update juga aplikasi nya bukan sekali juga sih kejadian ny,sekarang bisa pakai aplikasi hadehhh tulis error ada internet atw koneksi gtu padahal jaring bagus update aplikasi nya bukan sekali sih jadi nya,144
2023-09-20 11:21:21,awesome,5,Roy Solisa,awesome,awesome,7
2023-09-20 10:50:31,sangat bagus,5,Mawar juliani,sangat bagus,sangat bagus,12
2023-09-20 09:46:35,Mantap,4,Abdul Hofur,mantap,mantap,6
2023-09-20 09:18:59,"Bagus , membantu saya yang Tdk lancar Bhs inggris 🤣🤣",5,Devi Parwati,bagus membantu saya yang tdk lancar bhs inggris,bagus bantu yang lancar bhs inggris,35
2023-09-20 08:05:52,gembel,1,ikan Mas koki,gembel,gembel,6
2023-09-20 06:24:32,"ChatGPT adalah aplikasi yang sangat berguna dalam memberikan informasi, menjawab pertanyaan, dan memberikan panduan yang tepat. Keberadaannya sangat membantu dalam memahami berbagai topik dan memberikan wawasan yang berharga. Terima kasih ChatGPT!",5,Pradalfa,chatgpt adalah aplikasi yang sangat berguna dalam memberikan informasi menjawab pertanyaan dan memberikan panduan yang tepat keberadaannya sangat membantu dalam memahami berbagai topik dan memberikan wawasan yang berharga terima kasih chatgpt,chatgpt aplikasi sangat beri informasi jawab tanya beri pandu tepat sangat bantu dalam paham bagai topik beri wawas harga terima kasih chatgpt,142
2023-09-20 05:45:52,keren,5,Dodi Satriawan,keren,keren,5
2023-09-20 04:10:45,"saya menyesal berlangganan sebulan untuk mencoba ChatGPT4, himbauan kepada user lainnya, jangan pernah mengeluarkan uang untuk berlangganan chatGPT4, karena batas knowledge knowledge ChatGPT4 sama dengan ChatGPT3.5. Rugi besar kalian berlangganan ChatGPT4!!!",1,seto kuncoro,saya menyesal berlangganan sebulan untuk mencoba chatgpt himbauan kepada user lainnya jangan pernah mengeluarkan uang untuk berlangganan chatgpt karena batas knowledge knowledge chatgpt sama dengan chatgpt rugi besar kalian berlangganan chatgpt,sesal langgan bulan coba chatgpt himbauan user jangan pernah keluar uang langgan chatgpt batas knowledge knowledge chatgpt sama chatgpt rugi besar kalian langgan chatgpt,169
2023-09-20 03:52:44,Bagus,5,Har Linda,bagus,bagus,5
2023-09-20 01:17:38,lumayan lah ....,4,Grok Blom123,lumayan lah,lumayan lah,11
2023-09-20 00:54:32,aplikasi yang sangat lah tidak mendidik disarankan untuk tidak di dowload,5,dwi combet,aplikasi yang sangat lah tidak mendidik disarankan untuk tidak di dowload,aplikasi sangat lah didik saran tidak dowload,45
2023-09-20 00:27:22,"saran, tambahin fitur pinned dong.",5,Nur Fitriani Ramadhan,saran tambahin fitur pinned dong,saran tambahin fitur pinned dong,32
2023-09-19 14:37:39,Good,5,Fazri Ihsan,good,good,4
2023-09-19 13:46:11,Fitur suaranya nggak bisa dipakai,1,Ahyana Rahmatika,fitur suaranya nggak bisa dipakai,fitur suara bisa pakai,22
2023-09-19 12:21:27,ini aplikasi terbaik,5,WANZZ 04,ini aplikasi terbaik,aplikasi baik,13
2023-09-19 11:39:06,"Apk nya bagus,gratis,penjelasannya detail pokok bagus buat tugas jadi lebih terbantu",5,FM Craft,apk nya bagus gratis penjelasannya detail pokok bagus buat tugas jadi lebih terbantu,apk nya bagus gratis jelas detail pokok bagus buat tugas jadi lebih bantu,73
2023-09-19 09:37:00,"OpenAI terbaik! ChatGPT langsung dari developer, bukan abal-abal kayak yang lain.",5,Satriyo Kalingga,openai terbaik chatgpt langsung dari developer bukan abal abal kayak yang lain,openai baik chatgpt langsung developer bukan abal abal kayak lain,65
2023-09-19 08:49:25,"Sebenarnya Aplikasi ini GG, cuman agak ribet aja kalau soalnya di foto harus jadiin kalimat dulu baru bisa di pakai, coba aja kalau ada kayak google lines yang bisa mendeteksi tulisan pada foto dan merubahnya secara langsung menjadi tulisan, di kembangkan lagi ya, 5 star kalau fitur ini ada",4,Assalamualaikum Pak,sebenarnya aplikasi ini gg cuman agak ribet aja kalau soalnya di foto harus jadiin kalimat dulu baru bisa di pakai coba aja kalau ada kayak google lines yang bisa mendeteksi tulisan pada foto dan merubahnya secara langsung menjadi tulisan di kembangkan lagi ya star kalau fitur ini ada,benar aplikasi gg cuma ribet kalau soal foto jadiin kalimat dulu baru pakai coba kalau kayak google les bisa deteksi tulis foto rubah cara langsung jadi tulis kembang ya star kalau fitur ada,190
2023-09-19 07:54:49,not bad,4,Cinta Naomi Panjaitan,not bad,not bad,7
2023-09-19 07:40:13,Mamtap,5,Sabar Uddin,mamtap,mamtap,6
2023-09-19 06:19:40,Gege,5,Ayam Goyeng,gege,gege,4
2023-09-19 05:54:20,bagus deh,4,Delta angelo mort,bagus deh,bagus deh,9
2023-09-19 05:40:04,Wow,5,Kevin Yagami,wow,wow,3
2023-09-19 05:31:10,AI yg terbaik,5,Lendik Anando,ai yg terbaik,ai baik,7
2023-09-19 05:26:59,ok,5,Agus Iswahyudi,ok,oke,3
2023-09-19 04:47:53,Mantappp sangat membantu,5,yuda febri,mantappp sangat membantu,mantap sangat bantu,19
2023-09-19 04:15:43,"Apk paling bagus aaaaaa ga ada batasan/kena limit, i like this apppp!!!!",5,Pyani,apk paling bagus aaaaaa ga ada batasan kena limit like this apppp,apk paling bagus aaaaaa ada batas kena limit like this apppp,60
2023-09-19 02:56:50,nice,5,Hapid Sudirman,nice,nice,4
2023-09-19 02:44:50,"Inovasi yang luar biasa, sangat membantu",5,Romi Agustia,inovasi yang luar biasa sangat membantu,inovasi luar biasa sangat bantu,31
2023-09-19 02:08:17,sangat membantu,5,Intan Ariesyanti,sangat membantu,sangat bantu,12
2023-09-19 01:02:39,"asal masih bisa buat kaum gratis an , masih aman rating mu",5,Muhammad Abdurrahman Haitami,asal masih bisa buat kaum gratis an masih aman rating mu,asal bisa buat kaum gratis an aman rating mau,45
2023-09-18 23:53:15,Nice,5,Andra Saputra,nice,nice,4
2023-09-18 22:11:49,terima kasih semangat dalam membantu,3,Imbron Muhammad,terima kasih semangat dalam membantu,terima kasih semangat bantu,27
2023-09-18 16:12:26,i love youuuuu,5,Gumi,love youuuuu,love youuuuu,12
2023-09-18 15:51:51,Ai makin berkembang tapi harus di upgrade lagi sih biar makin 100% akurat,5,rifqi farizi,ai makin berkembang tapi harus di upgrade lagi sih biar makin akurat,ai makin kembang harus upgrade sih biar makin akurat,52
2023-09-18 15:45:29,saya sangat suka aplikasi ini sangat membantu,5,Yuda Saputra,saya sangat suka aplikasi ini sangat membantu,sangat suka aplikasi sangat bantu,33
2023-09-18 15:12:41,👍🏻,5,Ahmad Rama Dani (Rama),,,0
2023-09-18 13:50:53,Aplikasi ini sangat senang cari apa pun walaupun suruh buat data arduino Uno pun bisa,5,Awe 199,aplikasi ini sangat senang cari apa pun walaupun suruh buat data arduino uno pun bisa,aplikasi sangat senang cari apa walaupun suruh buat data arduino uno bisa,73
2023-09-18 13:33:04,"Tekhnologi yang sangat berguna untuk saya, terimakasih",5,Syafiq Nuhaa,tekhnologi yang sangat berguna untuk saya terimakasih,tekhnologi sangat untuk terima kasih,36
2023-09-18 13:04:59,Saya sangat mengapresiasi aplikasi ChatGPT ini. Aplikasi yang sangat membantu dalam permasalahan sehari-hari dengan cepat. Saya berharap aplikasinya terus berkembang tanpa mengurangi keunggulan yang sudah ada.,5,Della Yunika Zebua,saya sangat mengapresiasi aplikasi chatgpt ini aplikasi yang sangat membantu dalam permasalahan sehari hari dengan cepat saya berharap aplikasinya terus berkembang tanpa mengurangi keunggulan yang sudah ada,sangat apresiasi aplikasi chatgpt aplikasi sangat bantu masalah hari hari cepat harap aplikasi terus kembang kurang unggul sudah,128
2023-09-18 13:04:23,bagus bgt chatgpt AI nya pinter bgt ga ada tambahan sihh buat yang mau aplikasi buat matematika sama kayak google lens ada di aplikasi checkmath guys cek aja dia udh kolaborasi sama chatgpt lhoo.,5,Alvaro Christian Widhiatama,bagus bgt chatgpt ai nya pinter bgt ga ada tambahan sihh buat yang mau aplikasi buat matematika sama kayak google lens ada di aplikasi checkmath guys cek aja dia udh kolaborasi sama chatgpt lhoo,bagus banget chatgpt ai nya pinter banget tambah sihh buat mau aplikasi buat matematika sama kayak google lens ada aplikasi checkmath guys cek dia kolaborasi sama chatgpt lhoo,175
2023-09-18 12:31:40,keren,5,Vinn?!,keren,keren,5
2023-09-18 10:48:53,Keren,5,syofriandi inframe,keren,keren,5
2023-09-18 09:13:27,Omg very helpful!! Thank you,5,Sayyida Syakira Kamiliyya,omg very helpful thank you,omg very helpful thank you,26
2023-09-18 08:35:08,Menurut saya aplikasinya bagus dan tidak ada limitnya seperti aplikasi lain walaupun tidak ada fitur gambar tapi sudah bagus ni aplikasi karena tampilannya sederhana dan simpel dan jawabannya jika tidak nyambung itu memang karena dia cuman mentok pengetahuannya di 2021 September jadi kalo kalian cari yang sekarang sekarang seperti skibidi toilet dia tidak akan tahu paling cuman tau lagunya yang di tiktok walaupun aplikasinya online tapi good job developer👍👍🙂🙂😉😉🤩🤩(pls bales Developer),5,Aufa Hammadi,menurut saya aplikasinya bagus dan tidak ada limitnya seperti aplikasi lain walaupun tidak ada fitur gambar tapi sudah bagus ni aplikasi karena tampilannya sederhana dan simpel dan jawabannya jika tidak nyambung itu memang karena dia cuman mentok pengetahuannya di september jadi kalo kalian cari yang sekarang sekarang seperti skibidi toilet dia tidak akan tahu paling cuman tau lagunya yang di tiktok walaupun aplikasinya online tapi good job developer pls bales developer,turut aplikasi bagus limit aplikasi walaupun tidak ada fitur gambar sudah bagus aplikasi tampil sederhana simple jawab tidak nyambung memang cuma mentok tahu september jadi kalau kalian cari sekarang sekarang skibidi toilet dia tidak tahu paling cuma tau lagu tiktok walaupun aplikasi online good job developer please bales developer,333
2023-09-18 04:55:23,👍👍👍👍,5,Luthfi Hasnan Fadillah,,,0
2023-09-18 02:22:00,terkadang masih kurang akurat jawabannya dan katanya informasi nya terbatas sampai ditahun september 2021 namun saya tanya soal itu sudah ada ditahun sebelum 2021,3,Kentang Goreng,terkadang masih kurang akurat jawabannya dan katanya informasi nya terbatas sampai ditahun september namun saya tanya soal itu sudah ada ditahun sebelum,terkadang kurang akurat jawab kata informasi nya batas tahun september saya tanya soal sudah tahun,98
2023-09-17 23:50:28,sangat membantu kehidupan sehari hari,5,Mine Game,sangat membantu kehidupan sehari hari,sangat bantu hidup hari hari,28
2023-09-17 15:31:47,"I believe that AI knowledge needs to be upgraded regularly, perhaps on an annual or monthly basis.",4,IMAM,believe that ai knowledge needs to be upgraded regularly perhaps on an annual or monthly basis,believe that ai knowledge needs to be upgrade regularly perhaps on an annual or monthly basis,93
2023-09-17 14:41:16,Josss,5,Muhammad Ikhsan Syafiuddin,josss,josss,5
2023-09-17 14:34:53,Pengalaman yg luar biasa,5,Rebut Sugianto,pengalaman yg luar biasa,alam luar biasa,15
2023-09-17 12:50:45,keren banget!!,5,Kevin Naufal,keren banget,keren banget,12
2023-09-17 12:42:20,Aplikasi ini sangat bagus aplikasi pavorit saya kecerdasan buatan yang bukan biasa melainkan luar biasa saya seperti punya teman yang bisa di ajak bicara saat sendirian dan membicarakan sesuatu!!!!!,5,Gibran Gondrong,aplikasi ini sangat bagus aplikasi pavorit saya kecerdasan buatan yang bukan biasa melainkan luar biasa saya seperti punya teman yang bisa di ajak bicara saat sendirian dan membicarakan sesuatu,aplikasi sangat bagus aplikasi pavorit cerdas buat bukan biasa luar biasa seperti punya teman bisa ajak bicara sendiri bicara,125
2023-09-17 12:30:46,Sangat membantu. Keren !,5,Bima Sigit,sangat membantu keren,sangat bantu keren,18
2023-09-17 12:24:02,"Memudah kan banget sih ini , untuk ngerjain soal. 😍😍🥰🥰",5,Bagus Krishna,memudah kan banget sih ini untuk ngerjain soal,mudah kan banget sih untuk ngerjain soal,40
2023-09-17 12:11:41,"Cuma Apk ini saja yang gratis tidak seperti apk lain yang harus berlangganan jika ingin menggunakannya,Jika bisa untuk apk ini di tambahkan lagi fiturnya",5,Ahmad Haris,cuma apk ini saja yang gratis tidak seperti apk lain yang harus berlangganan jika ingin menggunakannya jika bisa untuk apk ini di tambahkan lagi fiturnya,cuma apk saja gratis seperti apk yang langgan ingin jika untuk apk tambah fiturnya,82
2023-09-17 11:55:54,Sangat membantu 👍👍👍,5,Caca _Nabila.Callista,sangat membantu,sangat bantu,12
2023-09-17 11:49:54,Keren sangat membantu mengerjakan tugas,5,Dede Arip,keren sangat membantu mengerjakan tugas,keren sangat bantu kerja tugas,30
2023-09-17 09:16:50,Good,5,M Haryo Subodro - Rambeanak - Magelang,good,good,4
2023-09-17 06:52:15,"Saya baru memulai, gunakan aplikasi ini jadi saya belum bisa beri komentar.",3,Anwar Nasyaruddin,saya baru memulai gunakan aplikasi ini jadi saya belum bisa beri komentar,baru mulai aplikasi jadi belum beri komentar,44
2023-09-17 05:53:36,good for assistance,5,Nian,good for assistance,good for assistance,19
2023-09-17 04:38:43,Bruh.,5,Retno Kinasih Putri Anggreini,bruh,bruh,4
2023-09-17 03:58:03,terbaik,5,PERAHU HIKMAH PAI2020PPU,terbaik,baik,4
2023-09-17 03:53:57,jawaban yang di berikan sesuai dgn harapan serta sangat cepat dalam memberikan jawaban tidak ada iklan,5,Rafiati Alwiah,jawaban yang di berikan sesuai dgn harapan serta sangat cepat dalam memberikan jawaban tidak ada iklan,jawab ikan sesuai harap sangat cepat beri jawab ada iklan,57
2023-09-17 02:17:58,LOVE U,5,Deva Aprillia,love,love,4
2023-09-17 00:08:46,hebat yang membuat APK ini,5,Ghozamm,hebat yang membuat apk ini,hebat buat apk,14
2023-09-16 19:08:25,Keren sekali,5,Oedin Forever,keren sekali,keren sekali,12
2023-09-16 15:02:07,Biarkan 🌟 5 yang berbicara,5,Dayat Ades,biarkan yang berbicara,biar bicara,11
2023-09-16 14:44:07,Sangat bagus keren mantap,5,Nazril Alatha,sangat bagus keren mantap,sangat bagus keren mantap,25
2023-09-16 13:46:39,Bagus banget apk nya,5,Imam Dwi cipta,bagus banget apk nya,bagus banget apk nya,20
2023-09-16 13:09:24,Ini sangat membantuku dalam banyak hal,5,Kaspul Anwar,ini sangat membantuku dalam banyak hal,sangat bantu banyak,19
2023-09-16 12:52:24,"sangat membantu tugas perkuliahan, setidaknya untuk paraphrase dan mengurutkan",5,Abyan Abimanyu,sangat membantu tugas perkuliahan setidaknya untuk paraphrase dan mengurutkan,sangat bantu tugas kuliah untuk paraphrase urut,47
2023-09-16 11:20:39,Nice AI dude!,5,PURPUR LEGEND,nice ai dude,nice ai dude,12
2023-09-16 05:34:24,Aplikasinya sudah keren parah tapi sayangnya setiap ngetik atau buat cerita yang gk ngandung kata kata jorok atau yang lain malah kena sensor. Udah sih itu aja masalahnya soalnya geram banget saat sudah sampai jauh malah kena sensor walaupun tidak ada kata-kata nyeleneh.,5,Rijakki Alakbar,aplikasinya sudah keren parah tapi sayangnya setiap ngetik atau buat cerita yang gk ngandung kata kata jorok atau yang lain malah kena sensor udah sih itu aja masalahnya soalnya geram banget saat sudah sampai jauh malah kena sensor walaupun tidak ada kata kata nyeleneh,aplikasi keren parah sayang tiap ngetik buat cerita ngandung kata kata jorok yang malah kena sensor sih saja masalah soal geram banget sudah jauh malah kena sensor walaupun tidak ada kata kata nyeleneh,201
2023-09-16 05:18:48,It's amazing,5,Muhammad Aditya,it amazing,it amazing,10
2023-09-16 01:56:00,Sangat membantu,5,Supi Hadi,sangat membantu,sangat bantu,12
2023-09-16 01:12:40,hahahaha,5,Wi,hahahaha,hahahaha,8
2023-09-16 00:16:54,good,5,YULIA FATMAWATI,good,good,4
2023-09-15 22:39:41,"belum referensi terbaru, tapi cukup membantu",4,Oki Daulay,belum referensi terbaru tapi cukup membantu,referensi baru cukup bantu,26
2023-09-15 18:16:16,informatif tapi agak menjengkelkan,4,Young Pa Sukri,informatif tapi agak menjengkelkan,informatif agak jengkel,23
2023-09-15 17:26:18,awesome!!!!,5,muving tour,awesome,awesome,7
2023-09-15 14:37:20,semuanya bisa,5,Theo Bate'e,semuanya bisa,semua,5
2023-09-15 13:43:36,haori baik,5,Yapivoldigoad,haori baik,haori baik,10
2023-09-15 13:19:02,Mantap,4,Syarif Wong Ngapak,mantap,mantap,6
2023-09-15 13:09:44,Bagus banget wir,5,Muhammad hasrun alfarandy sucipto,bagus banget wir,bagus banget wir,16
2023-09-15 12:51:36,Let me try and Learn,3,ovan triwinarko (Nap),let me try and learn,let me try and learn,20
2023-09-15 12:14:21,Papan keyboard ny gaje g muncul kek mana mau ngetik lah,1,Muhammad Faqih Robbani,papan keyboard ny gaje muncul kek mana mau ngetik lah,papan keyboard nya gaje muncul kek mana mau ngetik lah,54
2023-09-15 11:24:40,Sangat membantu dalam belajar,5,Agus Riyanto,sangat membantu dalam belajar,sangat bantu ajar,17
2023-09-15 09:16:14,Sangat membutuhkan saya dalam belajar coding pemula.,5,venom,sangat membutuhkan saya dalam belajar coding pemula,sangat butuh dalam ajar coding mula,35
2023-09-15 08:59:56,mabar bang,5,Rino Maulana,mabar bang,mabar bang,10
2023-09-15 06:44:12,Bagus dan bermanfaat 👍,5,Muhammad Nur Saepudien,bagus dan bermanfaat,bagus manfaat,13
2023-09-15 06:44:05,"Aplikasi ini sangat membantu mengerjakan tugas yang susah, tapi dengan adanya ini jadi clear dah tugasku 🙏🙏👍",5,Muh Fadli,aplikasi ini sangat membantu mengerjakan tugas yang susah tapi dengan adanya ini jadi clear dah tugasku,aplikasi sangat bantu kerja tugas susah dengan jadi clear tugas,63
2023-09-15 06:09:06,Nice,5,Nurcahyo Abdi,nice,nice,4
2023-09-15 04:33:04,Good,3,kresna andalas,good,good,4
