at,content,score,userName
2023-09-20 23:18:55,nice,5,FreezeClover
2023-09-20 15:56:20,very good,5,Galih Qurbany
2023-09-20 15:47:15,Aplikasi ter the best i love you,5,Natan Natan
2023-09-20 13:08:46,"sangat cepat, dan memuaskan",5,Eranatasia weli
2023-09-20 12:49:34,"Biasa aja, jawaban secara umum doang... kirain lebih mendalam sampai hal yanb tidak diketahui, apa yang di input ke program yah itu yang akan muncul sebagai jawaban (tidak ada yang spesial) tapi lumayan buat cari informasi buat yang malas buka2 browser atau tiktok penuh musik berisik joget2",4,abdul hakim
2023-09-20 11:52:21,"Sekarang ga bisa di pake aplikasinya hadehhh, tulisannya error ga ada internet atw koneksi gtu padahal jaringan bagus, udah di update juga aplikasi nya, bukan sekali juga sih kejadian ny",1,Muzza Imutt
2023-09-20 11:21:21,awesome,5,Roy Solisa
2023-09-20 10:50:31,sangat bagus,5,Mawar juliani
2023-09-20 09:46:35,Mantap,4,Abdul Hofur
2023-09-20 09:18:59,"Bagus , membantu saya yang Tdk lancar Bhs inggris 🤣🤣",5,Devi Parwati
2023-09-20 08:05:52,gembel,1,ikan Mas koki
2023-09-20 06:24:32,"ChatGPT adalah aplikasi yang sangat berguna dalam memberikan informasi, menjawab pertanyaan, dan memberikan panduan yang tepat. Keberadaannya sangat membantu dalam memahami berbagai topik dan memberikan wawasan yang berharga. Terima kasih ChatGPT!",5,Pradalfa
2023-09-20 05:45:52,keren,5,Dodi Satriawan
2023-09-20 04:10:45,"saya menyesal berlangganan sebulan untuk mencoba ChatGPT4, himbauan kepada user lainnya, jangan pernah mengeluarkan uang untuk berlangganan chatGPT4, karena batas knowledge knowledge ChatGPT4 sama dengan ChatGPT3.5. Rugi besar kalian berlangganan ChatGPT4!!!",1,seto kuncoro
2023-09-20 03:52:44,Bagus,5,Har Linda
2023-09-20 01:17:38,lumayan lah ....,4,Grok Blom123
2023-09-20 00:54:32,aplikasi yang sangat lah tidak mendidik disarankan untuk tidak di dowload,5,dwi combet
2023-09-20 00:27:22,"saran, tambahin fitur pinned dong.",5,Nur Fitriani Ramadhan
2023-09-19 14:37:39,Good,5,Fazri Ihsan
2023-09-19 13:46:11,Fitur suaranya nggak bisa dipakai,1,Ahyana Rahmatika
2023-09-19 12:21:27,ini aplikasi terbaik,5,WANZZ 04
2023-09-19 11:39:06,"Apk nya bagus,gratis,penjelasannya detail pokok bagus buat tugas jadi lebih terbantu",5,FM Craft
2023-09-19 09:37:00,"OpenAI terbaik! ChatGPT langsung dari developer, bukan abal-abal kayak yang lain.",5,Satriyo Kalingga
2023-09-19 08:49:25,"Sebenarnya Aplikasi ini GG, cuman agak ribet aja kalau soalnya di foto harus jadiin kalimat dulu baru bisa di pakai, coba aja kalau ada kayak google lines yang bisa mendeteksi tulisan pada foto dan merubahnya secara langsung menjadi tulisan, di kembangkan lagi ya, 5 star kalau fitur ini ada",4,Assalamualaikum Pak
2023-09-19 07:54:49,not bad,4,Cinta Naomi Panjaitan
2023-09-19 07:40:13,Mamtap,5,Sabar Uddin
2023-09-19 06:19:40,Gege,5,Ayam Goyeng
2023-09-19 05:54:20,bagus deh,4,Delta angelo mort
2023-09-19 05:40:04,Wow,5,Kevin Yagami
2023-09-19 05:31:10,AI yg terbaik,5,Lendik Anando
2023-09-19 05:26:59,ok,5,Agus Iswahyudi
2023-09-19 04:47:53,Mantappp sangat membantu,5,yuda febri
2023-09-19 04:15:43,"Apk paling bagus aaaaaa ga ada batasan/kena limit, i like this apppp!!!!",5,Pyani
2023-09-19 02:56:50,nice,5,Hapid Sudirman
2023-09-19 02:44:50,"Inovasi yang luar biasa, sangat membantu",5,Romi Agustia
2023-09-19 02:08:17,sangat membantu,5,Intan Ariesyanti
2023-09-19 01:02:39,"asal masih bisa buat kaum gratis an , masih aman rating mu",5,Muhammad Abdurrahman Haitami
2023-09-18 23:53:15,Nice,5,Andra Saputra
2023-09-18 22:11:49,terima kasih semangat dalam membantu,3,Imbron Muhammad
2023-09-18 16:12:26,i love youuuuu,5,Gumi
2023-09-18 15:51:51,Ai makin berkembang tapi harus di upgrade lagi sih biar makin 100% akurat,5,rifqi farizi
2023-09-18 15:45:29,saya sangat suka aplikasi ini sangat membantu,5,Yuda Saputra
2023-09-18 15:12:41,👍🏻,5,Ahmad Rama Dani (Rama)
2023-09-18 13:50:53,Aplikasi ini sangat senang cari apa pun walaupun suruh buat data arduino Uno pun bisa,5,Awe 199
2023-09-18 13:33:04,"Tekhnologi yang sangat berguna untuk saya, terimakasih",5,Syafiq Nuhaa
2023-09-18 13:04:59,Saya sangat mengapresiasi aplikasi ChatGPT ini. Aplikasi yang sangat membantu dalam permasalahan sehari-hari dengan cepat. Saya berharap aplikasinya terus berkembang tanpa mengurangi keunggulan yang sudah ada.,5,Della Yunika Zebua
2023-09-18 13:04:23,bagus bgt chatgpt AI nya pinter bgt ga ada tambahan sihh buat yang mau aplikasi buat matematika sama kayak google lens ada di aplikasi checkmath guys cek aja dia udh kolaborasi sama chatgpt lhoo.,5,Alvaro Christian Widhiatama
2023-09-18 12:31:40,keren,5,Vinn?!
2023-09-18 10:48:53,Keren,5,syofriandi inframe
2023-09-18 09:13:27,Omg very helpful!! Thank you,5,Sayyida Syakira Kamiliyya
2023-09-18 08:35:08,Menurut saya aplikasinya bagus dan tidak ada limitnya seperti aplikasi lain walaupun tidak ada fitur gambar tapi sudah bagus ni aplikasi karena tampilannya sederhana dan simpel dan jawabannya jika tidak nyambung itu memang karena dia cuman mentok pengetahuannya di 2021 September jadi kalo kalian cari yang sekarang sekarang seperti skibidi toilet dia tidak akan tahu paling cuman tau lagunya yang di tiktok walaupun aplikasinya online tapi good job developer👍👍🙂🙂😉😉🤩🤩(pls bales Developer),5,Aufa Hammadi
2023-09-18 04:55:23,👍👍👍👍,5,Luthfi Hasnan Fadillah
2023-09-18 02:22:00,terkadang masih kurang akurat jawabannya dan katanya informasi nya terbatas sampai ditahun september 2021 namun saya tanya soal itu sudah ada ditahun sebelum 2021,3,Kentang Goreng
2023-09-17 23:50:28,sangat membantu kehidupan sehari hari,5,Mine Game
2023-09-17 15:31:47,"I believe that AI knowledge needs to be upgraded regularly, perhaps on an annual or monthly basis.",4,IMAM
2023-09-17 14:41:16,Josss,5,Muhammad Ikhsan Syafiuddin
2023-09-17 14:34:53,Pengalaman yg luar biasa,5,Rebut Sugianto
2023-09-17 12:50:45,keren banget!!,5,Kevin Naufal
2023-09-17 12:42:20,Aplikasi ini sangat bagus aplikasi pavorit saya kecerdasan buatan yang bukan biasa melainkan luar biasa saya seperti punya teman yang bisa di ajak bicara saat sendirian dan membicarakan sesuatu!!!!!,5,Gibran Gondrong
2023-09-17 12:30:46,Sangat membantu. Keren !,5,Bima Sigit
2023-09-17 12:24:02,"Memudah kan banget sih ini , untuk ngerjain soal. 😍😍🥰🥰",5,Bagus Krishna
2023-09-17 12:11:41,"Cuma Apk ini saja yang gratis tidak seperti apk lain yang harus berlangganan jika ingin menggunakannya,Jika bisa untuk apk ini di tambahkan lagi fiturnya",5,Ahmad Haris
2023-09-17 11:55:54,Sangat membantu 👍👍👍,5,Caca _Nabila.Callista
2023-09-17 11:49:54,Keren sangat membantu mengerjakan tugas,5,Dede Arip
2023-09-17 09:16:50,Good,5,M Haryo Subodro - Rambeanak - Magelang
2023-09-17 06:52:15,"Saya baru memulai, gunakan aplikasi ini jadi saya belum bisa beri komentar.",3,Anwar Nasyaruddin
2023-09-17 05:53:36,good for assistance,5,Nian
2023-09-17 04:38:43,Bruh.,5,Retno Kinasih Putri Anggreini
2023-09-17 03:58:03,terbaik,5,PERAHU HIKMAH PAI2020PPU
2023-09-17 03:53:57,jawaban yang di berikan sesuai dgn harapan serta sangat cepat dalam memberikan jawaban tidak ada iklan,5,Rafiati Alwiah
2023-09-17 02:17:58,LOVE U,5,Deva Aprillia
2023-09-17 00:08:46,hebat yang membuat APK ini,5,Ghozamm
2023-09-16 19:08:25,Keren sekali,5,Oedin Forever
2023-09-16 15:02:07,Biarkan 🌟 5 yang berbicara,5,Dayat Ades
2023-09-16 14:44:07,Sangat bagus keren mantap,5,Nazril Alatha
2023-09-16 13:46:39,Bagus banget apk nya,5,Imam Dwi cipta
2023-09-16 13:09:24,Ini sangat membantuku dalam banyak hal,5,Kaspul Anwar
2023-09-16 12:52:24,"sangat membantu tugas perkuliahan, setidaknya untuk paraphrase dan mengurutkan",5,Abyan Abimanyu
2023-09-16 11:20:39,Nice AI dude!,5,PURPUR LEGEND
2023-09-16 05:34:24,Aplikasinya sudah keren parah tapi sayangnya setiap ngetik atau buat cerita yang gk ngandung kata kata jorok atau yang lain malah kena sensor. Udah sih itu aja masalahnya soalnya geram banget saat sudah sampai jauh malah kena sensor walaupun tidak ada kata-kata nyeleneh.,5,Rijakki Alakbar
2023-09-16 05:18:48,It's amazing,5,Muhammad Aditya
2023-09-16 01:56:00,Sangat membantu,5,Supi Hadi
2023-09-16 01:12:40,hahahaha,5,Wi
2023-09-16 00:16:54,good,5,YULIA FATMAWATI
2023-09-15 22:39:41,"belum referensi terbaru, tapi cukup membantu",4,Oki Daulay
2023-09-15 18:16:16,informatif tapi agak menjengkelkan,4,Young Pa Sukri
2023-09-15 17:26:18,awesome!!!!,5,muving tour
2023-09-15 14:37:20,semuanya bisa,5,Theo Bate'e
2023-09-15 13:43:36,haori baik,5,Yapivoldigoad
2023-09-15 13:19:02,Mantap,4,Syarif Wong Ngapak
2023-09-15 13:09:44,Bagus banget wir,5,Muhammad hasrun alfarandy sucipto
2023-09-15 12:51:36,Let me try and Learn,3,ovan triwinarko (Nap)
2023-09-15 12:14:21,Papan keyboard ny gaje g muncul kek mana mau ngetik lah,1,Muhammad Faqih Robbani
2023-09-15 11:24:40,Sangat membantu dalam belajar,5,Agus Riyanto
2023-09-15 09:16:14,Sangat membutuhkan saya dalam belajar coding pemula.,5,venom
2023-09-15 08:59:56,mabar bang,5,Rino Maulana
2023-09-15 06:44:12,Bagus dan bermanfaat 👍,5,Muhammad Nur Saepudien
2023-09-15 06:44:05,"Aplikasi ini sangat membantu mengerjakan tugas yang susah, tapi dengan adanya ini jadi clear dah tugasku 🙏🙏👍",5,Muh Fadli
2023-09-15 06:09:06,Nice,5,Nurcahyo Abdi
2023-09-15 04:33:04,Good,3,kresna andalas
2023-09-15 02:07:50,"kalian juga harus coba deh apk ini, benar-benar sangat membantu banget dalam mengerjakan tugas-tugas sekolah, udah gratis pula, pokoknya the best banget deh 👍👍👍",5,Realme C2
2023-09-15 00:57:27,aplikasi bagus,4,Really Forlike
2023-09-14 21:44:35,sangat membantu,4,Mrsya Taalempungan
2023-09-14 14:51:50,Salah satu gebrakan baru di dunia teknologi revolusi industri 4.0,5,M Daffa
2023-09-14 14:46:39,chatgpt selanjutnya harus dilengkapi fitur gambar dan vidio,5,Petapa Genit
2023-09-14 14:31:16,aplikasi ini sangat membantu🙏🙏,5,Kainan Tamher
2023-09-14 13:29:05,aplikasi yang sangat membantu terimakasih,5,Amogus Tututut
2023-09-14 13:09:51,Sangat membantumu bangettt❤❤❤❤,5,Lia Lia
2023-09-14 13:01:52,Aplikasi ini sangat membantu sekali dalam mencari informasi saya sangat merekomendasikan aplikasi ini,5,Hario rahmadi
2023-09-14 12:30:16,Bagus banget ini mah! gak cuman untuk nyari ilmu doang. tapi juga bisa diajak curhat dan cerita juga 😃,5,Riza Jake
2023-09-14 12:24:19,"Terimakasih telah meringankan pekerjaanku, you're not so bad afterall AI 👍",5,TheOnlyKenn
2023-09-14 12:02:49,sangat membantu,5,Dede Axl
2023-09-14 11:48:10,sangat membantu,5,AL NAZWAR RILLAH
2023-09-14 11:43:50,Good,4,Babra Kamal
2023-09-14 11:41:42,bagus,5,andra blu x
2023-09-14 10:00:59,Saya tidak bisa menggunakan aplikasinya karena tidak dikirim kodenya,1,Dede Maulana
2023-09-14 06:53:11,kaya akan kemudahan dan sangat membantu dalam kata kata yang indah.,5,Ilma Syahnaya
2023-09-14 06:34:48,penjelasannyq sangat mudah di pahami,5,Sulas Tri
2023-09-14 06:01:51,Mantap,5,Jack Milla
2023-09-14 05:56:07,"Sempat server down tapi untung lumayan cepat diatasi, Semangat Bagi para pengembang ini!",5,Agus Arbani
2023-09-14 04:42:56,Good asf,5,Ahmad Fadlan
2023-09-14 04:13:08,Hadeh akses cuman sampai tahun 2021,1,Faa Rizky
2023-09-14 01:03:03,NGEBANTU BANGET LOVE LOVE DECH,5,wifa Mpa
2023-09-13 23:07:00,"sama kayak yang di web. aplikasinya ringan. mantap lah kalo menurut saya. Saran agar pengguna lebih nyaman, saat ingin membuka chat terbawah harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu (lazy load).",5,Cecep Abdul Malik
2023-09-13 21:48:44,Good,5,Ashardi Almauludin
2023-09-13 14:51:57,Sangat mambantu !!!!!,5,Yusuf Nada
2023-09-13 14:02:58,Bug,1,Khattab
2023-09-13 13:08:32,Kok saat malam sering loading terus yah? Padahal jaringan nya kerja bagus,5,Arul FM
2023-09-13 12:28:38,"Bagus. Akan tetapi, informasi yang diberikan dalam aplikasinya ketika pengguna menanyakan atau meminta penjelasan terkait sesuatu, terbilang kurang panjang dan kurang detail.",5,The Thinker
2023-09-13 12:17:48,The great tolls,4,Nazil Azman
2023-09-13 12:01:20,nice,5,Mr AMRY
2023-09-13 11:08:42,this good. i can share anything with the assistant,5,Wiwikk Prawijayanti
2023-09-13 09:36:37,Obviously amazing 👍,5,Hendry Maheswara
2023-09-13 09:14:30,qE.,5,Rahman Abdul
2023-09-13 07:16:20,10/10,5,Riko Aji sahputra
2023-09-13 06:24:12,mantap,5,GTX 1050 TI
2023-09-13 05:15:30,Ditingkatkan lagi efisiensi dari AI,5,Deniks Gery Antou
2023-09-13 04:55:29,recomend banget. karena cukup jadi solusi cerdas untuk pencarian masalah yang sedang dihadapi.,5,Awang Suardi Bangka
2023-09-13 04:29:09,sejauh ini bagus untuk mencari ide konten dan juga script untuk mereview produk yang dijual.,5,MARIA DEVINA
2023-09-13 04:14:22,oke,5,MUHAMAD ADI SAPUTRA
2023-09-13 03:52:42,nice👍,5,Yanto Saputra
2023-09-13 01:35:01,good job!,5,Ibnu Awi Habib Albi
2023-09-13 01:21:36,ulasan publik opsional,5,Riki Irwanto
2023-09-13 00:26:08,luar biasa,5,dina harta
2023-09-12 19:21:14,good,5,danu prabowo
2023-09-12 18:15:12,saya amat sangat bahagia telah menemukan ChatGPT .. merupakan penemuan yang luar biasa . saya bisa berdiskusi dan menanyakan banyak hal saya cinta chat GPT,5,KHARISMA PUTRI WIBOWO
2023-09-12 15:27:48,Mengecewakan. Ga bisa diedit.,2,Edy Rahman
2023-09-12 14:52:51,sungguh sangat membantu jawabannya layan Tepat. sayangnya ndak bisa sekalian kasi gambar/foto ato video kasusnya secara umum Ok lah... mantep thks. Devp,5,Fery Printing
2023-09-12 13:22:14,Bagus banget aplikasi nya tapi... terkadang beberapa pertanyaan lama banget dijawab tolong ditingkatkan lagi AI nya 🙏🙏,5,Davidteguh
2023-09-12 13:13:43,AI what you need human?,5,Irfan Gani
2023-09-12 12:59:08,responnya lamaa,1,26. Nabillah Rahmadani
2023-09-12 12:48:03,"Tidak update pengetahuan, terakhir sekolah 21 September 2021, data terjebak di masa pandemi.",4,Don Donces
2023-09-12 12:31:22,Tambahin fitur gambar atau simbol²,5,Muh. Fauzan Al Farizi
2023-09-12 11:42:14,"sangat membantu para pelajar, content creator, DLL untuk membantu kesusahan setiap orang emang terbaik ini AI!",5,GriffinDaBest123
2023-09-12 11:04:43,Penemuan terbesar abad ini 🥳,5,Muhamad Qamarudin
2023-09-12 10:41:01,Sangat membantu pisan euy aseli,5,Fikri Firmansyah
2023-09-12 10:20:03,I learn faster with chat gpt. Thank you chat gpt,5,Agus Tiger
2023-09-12 09:20:39,Jenius 100000%,5,Knight Nemesis
2023-09-12 09:04:16,👍👍,5,Toto Sudiyanto
2023-09-12 07:17:55,mantap mbah dukun,4,Zaidan Luthfi ABI
2023-09-12 06:50:24,im crying,5,Farrel Irshad
2023-09-12 06:39:00,Gila nih aplikasi terkeren cuy!!,5,Jessen Christian
2023-09-12 04:40:20,Kerenn👍👍👍,5,Cell Xion
2023-09-12 04:17:38,Gacor kanggg,5,akbar choirudin
2023-09-12 04:05:15,"AI ini sangat bagus,namun terkadang ada beberapa topik yg tidak dipahami karena ditutupnya informasi dari pihak AI",5,Steven Sahida
2023-09-12 03:30:33,lebih membantu 👍,5,Agus DERMAWAN
2023-09-12 01:24:39,Can't log in please fix the server,2,Dakwah Indonesia
2023-09-12 00:42:36,"bagus, ... iya udah bagus kok, singkat,jelas,padat kan?",5,Babel Auto
2023-09-11 22:50:42,sangat membantu,5,Sis Wanto2
2023-09-11 18:23:23,BAGUS BANGET,5,Irvan Saesar
2023-09-11 17:16:09,"sangat luar biasa, setelah ditunggu sekian lama akhirnya aplikasi nya launching juga. terimakasih developer",5,Hidayati Ana
2023-09-11 15:58:55,gokil sekarang akhirnya punya aplikasi resmi,5,Trust Yourself
2023-09-11 15:45:04,"Chat gt sangatlah membantu saya dalam informasi penting, akan tetapi chatgpt hanya memberikan informasi hingga September 2021 , mohon untuk ditingkatkan lagi untuk informasinya agar akurat dan valid, oke sekian nih bintang 🌟🌟🌟🌟🌟 beri apresiasi untuk chatgpt",5,Muhammad Rafifalfarizi
2023-09-11 15:02:48,Kerenn Parahh...,5,Aldo Daniel Antahari
2023-09-11 14:21:16,Super duper hebat aplikasi ini langsung tanpa ragu kasih bintang 5,5,Wildan Hadi Saputra
2023-09-11 13:49:42,nice app,5,Evos Mrey07
2023-09-11 13:38:09,Luar biasa,5,Feny Atun
2023-09-11 12:36:07,"Bagus banget, ringan, berguna ngerjain tugas atau yang lainnya, dan aplikasinya juga gratis",5,Rafie Rahadian
2023-09-11 12:21:48,Teknologi yang luar biasa,5,R1fqi adli
2023-09-11 12:07:11,Wow sangat bagus untuk mengerjakan pr,5,Sultan Akbar
2023-09-11 11:13:54,aplikasi yang bagus aku dapat belajar lebih banyak dari chatGPT tapi terkadang ada beberapa kekurangan dalam berkomunikasi seperti salahnya respon saat di ajak berkomunikasi tapi sejauh ini aplikasi ini sangat bagus dan bekerja dengan sangat baik,5,Dyaz Almu daffa
2023-09-11 11:13:40,Bagus bgt ngerjain PR jadi sangat Mudahhh :)🥰🥰,5,Krish Yuddianto
2023-09-11 11:00:30,Good,5,Stepano Mandagi
2023-09-11 09:44:14,sangat membantu,5,David Sand
2023-09-11 08:02:55,keren,5,Surya Pangestu (SUDEPA)
2023-09-11 05:47:07,Keren,5,Farhan Maulana
2023-09-11 05:33:27,Good Appl,5,Rommy Geullherme Lumi (Nego Chank)
2023-09-11 05:15:32,Berguna,5,el henderson
2023-09-11 04:47:29,Lumayan bagusss tapi batas nya pertanyaan sampai 2021 doang mungkin kedepannya ada update yang bagus 👊🏻,5,zamzami alfharedo
2023-09-11 03:05:54,gg,5,BeMaX WOi
2023-09-11 02:33:02,"karena chatGPT itu ada jawabannya benar dan juga ad jawabannya yang salah,saya juga kadang bener tapi yang paling itu paling salah banyak seharusnya diperbaiki lagi karena ini sangat berpengaruh untuk menjawab"" pertanyaan yg lainnya,apa lagi menjawab pertanyaan lain klu salah bagaimana hehe😅☺",2,31. Rizky abdul Al aliyyu
2023-09-11 02:30:14,keren dan sangat membantu,5,Zie
2023-09-10 15:03:51,"Bagussss bangeeeet.Saya sukaaaa👍👍👍👍👍.saya ada saran, bagaimana klo ditambahin fitur foto, supaya lebih mudah dalam pencarian😅...",5,M`Akbar Hidayat
2023-09-10 15:00:58,sangat membantu dalam segala hal. terima kasih banyak sudah membantu ku !! ♡,5,Nurul Maulida
2023-09-10 14:36:23,👍👍👍,5,Faras Al Ghifari
2023-09-10 13:53:16,sangat membantu,5,Helen Rizky
2023-09-10 13:39:40,berguna buat respon temen ama pacar lumayan lah buat yang bingung mw jawab apa🗿👍,5,Myrna Recy
2023-09-10 12:32:31,Top,5,zahir muhammad
2023-09-10 12:00:43,"sangat mudah, berguna banget 😁🤗",5,Raven Zi
2023-09-10 11:08:57,unreal,5,YOSA RASYAD H
2023-09-10 10:28:55,Mau verifikasi malah keluar terus..gimana nih..UNINSTALL,1,Om Kelik
2023-09-10 09:23:21,Nice,5,Muhamad Rafemas
2023-09-10 05:45:45,Nice,5,Luthfi_199
2023-09-10 03:22:00,"Pengalaman yang seru melalui gptrain , kalian coba tidak rugi didalamnya semua pertanyaan pasti terjawab tentunya yang masuk akal yaa....",5,Muhammad Kori
2023-09-09 23:46:18,Mantap sekali bung,5,Naufaldn
2023-09-09 23:16:21,Apk ini sangat membantu,5,Kamis Anselmus
2023-09-09 23:14:13,aplikasi ringan .pintar gratis dan sangat membantu,5,Chesta Adabi Ryano
2023-09-09 19:42:24,Tidak mendetail,3,Diyah Pcc
2023-09-09 18:03:11,Very Nice,5,Fasya
2023-09-09 16:23:41,Sungguh membantu dan semua jawaban ada didalam,5,Rizki Gans
2023-09-09 15:33:47,"Aplikasinya udh bagus, tapi kadang AI gak bisa menjawab pertanyaan apa yang kita berikan.",4,Jodi Pratama Siregar
2023-09-09 13:33:24,terimakasih sangat membantu sy,5,Khopid Syafutra
2023-09-09 12:32:46,Please add a photo feature so you can take photos of questions. The application is good,5,Sri Pudyawati
2023-09-09 11:28:23,keren,5,Krishna Jaya Kusuma
2023-09-09 11:14:59,bagus,5,Abdurrahman Haris
2023-09-09 04:31:28,mantab,5,Rudi Candra
2023-09-09 03:04:48,"bagus banget pliss😭, tpi tolong jaga tingkat keamanan nya yaaa",5,INFINIX SMARTPHONE
2023-09-09 00:01:04,Bagus,5,Ilyas Rayyan
2023-09-08 15:10:56,Tambahin fitur untuk ngehapus pertanyaaan dong dan pulihin pesan supaya lebih gampang,4,Anita
2023-09-08 13:49:56,Mantapppp,5,Mul Yadi
2023-09-08 11:50:05,"Aplikasi AI keren,cepat,mantap,tepat👏",5,Satria Garda
2023-09-08 11:31:04,Bagus,5,Fredo Castrada
2023-09-08 08:47:01,dapat membatu saya ketika kebingungan,5,Fa Iz
2023-09-08 08:10:05,Sangat membantu dalam berbagai hal,5,Fire Shadow
2023-09-08 07:55:09,that so good apk,5,Ilham Cool
2023-09-08 07:44:11,Mantap,5,Muhammad Naufal
2023-09-08 06:48:57,"You have to improve this Apps, because it completely useful.",5,Fatih Al-Ayyubi
2023-09-08 05:26:37,nice,5,Yoga Dwi
2023-09-08 03:54:06,sangat membantu,5,Yahya Maulana 1
2023-09-08 03:24:18,cepat dan tepat terjawab semoga bisa bermanfaat terus,5,Dorry GMP Property
2023-09-08 02:31:28,bagus,3,Muhammad Rizki
2023-09-08 02:15:24,keren,5,Muhammad Sentanu Mizwal (Sentanu)
2023-09-07 22:34:20,Bagus! Tolong diupdate pengetahuan AI-nya sampai September 2023.,5,Fatur Rahman R.
2023-09-07 22:03:23,Good,5,Shiro
2023-09-07 16:50:46,Sangat Membantu,5,MZXD
